filename,width,height,class,xmin,ymin,xmax,ymax
23123_2017_02_06_11_45_49.jpg,600,600,Tomates,204,66,375,247
25930_2017_03_13_13_31_45.jpg,600,600,Tomates,492,149,68,46
32932_2017_04_24_20_07_52.jpg,600,600,Tomates,216,58,313,239
296126_2018_04_19_10_45_50_600020.jpg,600,600,Tomates,18,369,153,103
296126_2018_04_19_10_45_50_600020.jpg,600,600,Tomates,374,11,87,138
334218_2018_05_09_11_57_00_149916.jpg,600,600,Tomates,255,225,137,131
246887_2018_05_05_11_52_42_015393.jpg,600,600,Tomates,362,273,77,61
6297_2016_07_27_14_31_20.jpg,600,600,Tomates,183,52,296,196
324389_2018_05_02_17_37_16_479452.jpg,600,600,Tomates,83,299,301,253
19866_2017_01_27_14_02_59.jpg,600,600,Tomates,319,108,153,111
2633bc30fb0f7337b4b460eccbbe9e6a.jpeg,600,600,Tomates,12,141,151,274
2633bc30fb0f7337b4b460eccbbe9e6a.jpeg,600,600,Tomates,74,369,226,226
2633bc30fb0f7337b4b460eccbbe9e6a.jpeg,600,600,Tomates,101,66,153,151
2633bc30fb0f7337b4b460eccbbe9e6a.jpeg,600,600,Tomates,244,36,217,160
2633bc30fb0f7337b4b460eccbbe9e6a.jpeg,600,600,Tomates,402,113,168,197
2633bc30fb0f7337b4b460eccbbe9e6a.jpeg,600,600,Tomates,459,290,137,113
2633bc30fb0f7337b4b460eccbbe9e6a.jpeg,600,600,Tomates,304,401,252,196
379074_2018_05_09_19_16_38_598052.jpg,600,600,Tomates,441,187,123,52
379074_2018_05_09_19_16_38_598052.jpg,600,600,Tomates,447,210,108,77
473a56d9222dd34ce935c7dc8e84091f.jpeg,600,600,Tomates,23,95,312,358
a982d669d2c09b588a0b83a4b649fd00.jpeg,600,600,Tomates,293,188,114,319
f73262fff65711c56d1063ba41062be3.jpeg,600,600,Tomates,101,81,279,208
85a9e47173bcaa7c5e7599b9df9785c2.jpeg,600,600,Tomates,223,219,134,147
ccb9e484f9c442bfa8b1707b7b0eecf3.jpeg,600,600,Tomates,71,314,119,192
326042_2018_05_01_17_17_22_099422.jpg,600,600,Tomates,314,229,226,256
9cff1c424506d2548a507280ae3e8782.jpeg,600,600,Tomates,29,419,204,151
9cff1c424506d2548a507280ae3e8782.jpeg,600,600,Tomates,83,143,207,197
9cff1c424506d2548a507280ae3e8782.jpeg,600,600,Tomates,352,314,183,216
